"year","value","state","item","units","base"
1997,26.554325,"RI","Total Personal Income","Billion Dollars","Nominal"
1998,28.3497,"RI","Total Personal Income","Billion Dollars","Nominal"
1999,29.581075,"RI","Total Personal Income","Billion Dollars","Nominal"
2000,31.875275,"RI","Total Personal Income","Billion Dollars","Nominal"
2001,33.61175,"RI","Total Personal Income","Billion Dollars","Nominal"
2002,34.965675,"RI","Total Personal Income","Billion Dollars","Nominal"
2003,36.7002,"RI","Total Personal Income","Billion Dollars","Nominal"
2004,38.5415,"RI","Total Personal Income","Billion Dollars","Nominal"
2005,39.2413,"RI","Total Personal Income","Billion Dollars","Nominal"
2006,41.162025,"RI","Total Personal Income","Billion Dollars","Nominal"
2007,42.935225,"RI","Total Personal Income","Billion Dollars","Nominal"
2008,43.768625,"RI","Total Personal Income","Billion Dollars","Nominal"
2009,42.764925,"RI","Total Personal Income","Billion Dollars","Nominal"
2010,44.973875,"RI","Total Personal Income","Billion Dollars","Nominal"
2011,46.685375,"RI","Total Personal Income","Billion Dollars","Nominal"
2012,48.18645,"RI","Total Personal Income","Billion Dollars","Nominal"
2013,48.18705,"RI","Total Personal Income","Billion Dollars","Nominal"
2014,50.04515,"RI","Total Personal Income","Billion Dollars","Nominal"
2015,51.775175,"RI","Total Personal Income","Billion Dollars","Nominal"
2016,52.51445,"RI","Total Personal Income","Billion Dollars","Nominal"
2017,54.70425,"RI","Total Personal Income","Billion Dollars","Nominal"
2018,56.918925,"RI","Total Personal Income","Billion Dollars","Nominal"
2019,60.336975,"RI","Total Personal Income","Billion Dollars","Nominal"
2020,64.969725,"RI","Total Personal Income","Billion Dollars","Nominal"
2021,69.01445,"RI","Total Personal Income","Billion Dollars","Nominal"
2022,70.450425,"RI","Total Personal Income","Billion Dollars","Nominal"
2023,74.04575,"RI","Total Personal Income","Billion Dollars","Nominal"
2024,77.581,"RI","Total Personal Income","Billion Dollars","Nominal"
1948,1.8487,"SC","Total Personal Income","Billion Dollars","Nominal"
1949,1.795,"SC","Total Personal Income","Billion Dollars","Nominal"
1950,1.9924,"SC","Total Personal Income","Billion Dollars","Nominal"
1951,2.50905,"SC","Total Personal Income","Billion Dollars","Nominal"
1952,2.6962,"SC","Total Personal Income","Billion Dollars","Nominal"
1953,2.778175,"SC","Total Personal Income","Billion Dollars","Nominal"
1954,2.633575,"SC","Total Personal Income","Billion Dollars","Nominal"
1955,2.798075,"SC","Total Personal Income","Billion Dollars","Nominal"
1956,2.910675,"SC","Total Personal Income","Billion Dollars","Nominal"
1957,3.041075,"SC","Total Personal Income","Billion Dollars","Nominal"
1958,3.150825,"SC","Total Personal Income","Billion Dollars","Nominal"
1959,3.40015,"SC","Total Personal Income","Billion Dollars","Nominal"
1960,3.570125,"SC","Total Personal Income","Billion Dollars","Nominal"
1961,3.7484,"SC","Total Personal Income","Billion Dollars","Nominal"
1962,4.018375,"SC","Total Personal Income","Billion Dollars","Nominal"
1963,4.252,"SC","Total Personal Income","Billion Dollars","Nominal"
1964,4.567275,"SC","Total Personal Income","Billion Dollars","Nominal"
1965,5.047675,"SC","Total Personal Income","Billion Dollars","Nominal"
1966,5.67205,"SC","Total Personal Income","Billion Dollars","Nominal"
1967,6.12055,"SC","Total Personal Income","Billion Dollars","Nominal"
1968,6.796275,"SC","Total Personal Income","Billion Dollars","Nominal"
1969,7.604375,"SC","Total Personal Income","Billion Dollars","Nominal"
1970,8.380425,"SC","Total Personal Income","Billion Dollars","Nominal"
1971,9.180925,"SC","Total Personal Income","Billion Dollars","Nominal"
1972,10.308875,"SC","Total Personal Income","Billion Dollars","Nominal"
1973,11.692275,"SC","Total Personal Income","Billion Dollars","Nominal"
1974,13.23465,"SC","Total Personal Income","Billion Dollars","Nominal"
1975,14.3943,"SC","Total Personal Income","Billion Dollars","Nominal"
1976,16.09625,"SC","Total Personal Income","Billion Dollars","Nominal"
1977,17.5925,"SC","Total Personal Income","Billion Dollars","Nominal"
1978,19.87915,"SC","Total Personal Income","Billion Dollars","Nominal"
1979,22.283225,"SC","Total Personal Income","Billion Dollars","Nominal"
1980,24.971775,"SC","Total Personal Income","Billion Dollars","Nominal"
1981,28.10185,"SC","Total Personal Income","Billion Dollars","Nominal"
1982,29.878275,"SC","Total Personal Income","Billion Dollars","Nominal"
1983,32.45215,"SC","Total Personal Income","Billion Dollars","Nominal"
1984,36.148875,"SC","Total Personal Income","Billion Dollars","Nominal"
1985,38.691625,"SC","Total Personal Income","Billion Dollars","Nominal"
1986,41.354875,"SC","Total Personal Income","Billion Dollars","Nominal"
1987,44.239775,"SC","Total Personal Income","Billion Dollars","Nominal"
1988,48.2061,"SC","Total Personal Income","Billion Dollars","Nominal"
1989,52.46655,"SC","Total Personal Income","Billion Dollars","Nominal"
1990,56.391,"SC","Total Personal Income","Billion Dollars","Nominal"
1991,58.9309,"SC","Total Personal Income","Billion Dollars","Nominal"
1992,62.65465,"SC","Total Personal Income","Billion Dollars","Nominal"
1993,65.852025,"SC","Total Personal Income","Billion Dollars","Nominal"
1994,69.837525,"SC","Total Personal Income","Billion Dollars","Nominal"
1995,73.99745,"SC","Total Personal Income","Billion Dollars","Nominal"
1996,78.652,"SC","Total Personal Income","Billion Dollars","Nominal"
1997,83.696775,"SC","Total Personal Income","Billion Dollars","Nominal"
1998,89.7519,"SC","Total Personal Income","Billion Dollars","Nominal"
1999,94.148475,"SC","Total Personal Income","Billion Dollars","Nominal"
2000,100.70535,"SC","Total Personal Income","Billion Dollars","Nominal"
2001,104.242075,"SC","Total Personal Income","Billion Dollars","Nominal"
2002,107.305275,"SC","Total Personal Income","Billion Dollars","Nominal"
2003,111.1967,"SC","Total Personal Income","Billion Dollars","Nominal"
2004,117.451825,"SC","Total Personal Income","Billion Dollars","Nominal"
2005,124.417,"SC","Total Personal Income","Billion Dollars","Nominal"
2006,134.174175,"SC","Total Personal Income","Billion Dollars","Nominal"
2007,143.05515,"SC","Total Personal Income","Billion Dollars","Nominal"
2008,149.9544,"SC","Total Personal Income","Billion Dollars","Nominal"
2009,146.7537,"SC","Total Personal Income","Billion Dollars","Nominal"
2010,151.74585,"SC","Total Personal Income","Billion Dollars","Nominal"
2011,160.391125,"SC","Total Personal Income","Billion Dollars","Nominal"
2012,168.271225,"SC","Total Personal Income","Billion Dollars","Nominal"
2013,170.204775,"SC","Total Personal Income","Billion Dollars","Nominal"
2014,180.8377,"SC","Total Personal Income","Billion Dollars","Nominal"
2015,192.054675,"SC","Total Personal Income","Billion Dollars","Nominal"
2016,200.02745,"SC","Total Personal Income","Billion Dollars","Nominal"
2017,210.38755,"SC","Total Personal Income","Billion Dollars","Nominal"
2018,219.9421,"SC","Total Personal Income","Billion Dollars","Nominal"
2019,234.295425,"SC","Total Personal Income","Billion Dollars","Nominal"
2020,250.293725,"SC","Total Personal Income","Billion Dollars","Nominal"
2021,276.439575,"SC","Total Personal Income","Billion Dollars","Nominal"
2022,287.548275,"SC","Total Personal Income","Billion Dollars","Nominal"
2023,308.07785,"SC","Total Personal Income","Billion Dollars","Nominal"
2024,326.70945,"SC","Total Personal Income","Billion Dollars","Nominal"
1948,0.920075,"SD","Total Personal Income","Billion Dollars","Nominal"
1949,0.7076,"SD","Total Personal Income","Billion Dollars","Nominal"
1950,0.850175,"SD","Total Personal Income","Billion Dollars","Nominal"
1951,0.99565,"SD","Total Personal Income","Billion Dollars","Nominal"
1952,0.8835,"SD","Total Personal Income","Billion Dollars","Nominal"
1953,0.9608,"SD","Total Personal Income","Billion Dollars","Nominal"
1954,0.98815,"SD","Total Personal Income","Billion Dollars","Nominal"
1955,0.922275,"SD","Total Personal Income","Billion Dollars","Nominal"
1956,0.98745,"SD","Total Personal Income","Billion Dollars","Nominal"
1957,1.1569,"SD","Total Personal Income","Billion Dollars","Nominal"
1958,1.188025,"SD","Total Personal Income","Billion Dollars","Nominal"
1959,1.080925,"SD","Total Personal Income","Billion Dollars","Nominal"
1960,1.324875,"SD","Total Personal Income","Billion Dollars","Nominal"
1961,1.333025,"SD","Total Personal Income","Billion Dollars","Nominal"
1962,1.5189,"SD","Total Personal Income","Billion Dollars","Nominal"
1963,1.47315,"SD","Total Personal Income","Billion Dollars","Nominal"
1964,1.445175,"SD","Total Personal Income","Billion Dollars","Nominal"
1965,1.62585,"SD","Total Personal Income","Billion Dollars","Nominal"
1966,1.75795,"SD","Total Personal Income","Billion Dollars","Nominal"
1967,1.786025,"SD","Total Personal Income","Billion Dollars","Nominal"
1968,1.91425,"SD","Total Personal Income","Billion Dollars","Nominal"
1969,2.07645,"SD","Total Personal Income","Billion Dollars","Nominal"
1970,2.257375,"SD","Total Personal Income","Billion Dollars","Nominal"
1971,2.473075,"SD","Total Personal Income","Billion Dollars","Nominal"
1972,2.85545,"SD","Total Personal Income","Billion Dollars","Nominal"
1973,3.605275,"SD","Total Personal Income","Billion Dollars","Nominal"
1974,3.612025,"SD","Total Personal Income","Billion Dollars","Nominal"
1975,3.972075,"SD","Total Personal Income","Billion Dollars","Nominal"
1976,3.932825,"SD","Total Personal Income","Billion Dollars","Nominal"
1977,4.46255,"SD","Total Personal Income","Billion Dollars","Nominal"
1978,5.142475,"SD","Total Personal Income","Billion Dollars","Nominal"
1979,5.665375,"SD","Total Personal Income","Billion Dollars","Nominal"
1980,5.71655,"SD","Total Personal Income","Billion Dollars","Nominal"
1981,6.653375,"SD","Total Personal Income","Billion Dollars","Nominal"
1982,7.01175,"SD","Total Personal Income","Billion Dollars","Nominal"
1983,7.277175,"SD","Total Personal Income","Billion Dollars","Nominal"
1984,8.268325,"SD","Total Personal Income","Billion Dollars","Nominal"
1985,8.4812,"SD","Total Personal Income","Billion Dollars","Nominal"
1986,8.84705,"SD","Total Personal Income","Billion Dollars","Nominal"
1987,9.3035,"SD","Total Personal Income","Billion Dollars","Nominal"
1988,9.74045,"SD","Total Personal Income","Billion Dollars","Nominal"
1989,10.481325,"SD","Total Personal Income","Billion Dollars","Nominal"
1990,11.48385,"SD","Total Personal Income","Billion Dollars","Nominal"
1991,11.982,"SD","Total Personal Income","Billion Dollars","Nominal"
1992,12.935075,"SD","Total Personal Income","Billion Dollars","Nominal"
1993,13.52015,"SD","Total Personal Income","Billion Dollars","Nominal"
1994,14.5739,"SD","Total Personal Income","Billion Dollars","Nominal"
1995,14.86475,"SD","Total Personal Income","Billion Dollars","Nominal"
1996,16.41545,"SD","Total Personal Income","Billion Dollars","Nominal"
1997,16.797725,"SD","Total Personal Income","Billion Dollars","Nominal"
1998,18.102875,"SD","Total Personal Income","Billion Dollars","Nominal"
1999,18.948925,"SD","Total Personal Income","Billion Dollars","Nominal"
2000,20.201175,"SD","Total Personal Income","Billion Dollars","Nominal"
2001,20.89215,"SD","Total Personal Income","Billion Dollars","Nominal"
2002,20.898475,"SD","Total Personal Income","Billion Dollars","Nominal"
2003,22.822725,"SD","Total Personal Income","Billion Dollars","Nominal"
2004,24.5532,"SD","Total Personal Income","Billion Dollars","Nominal"
2005,26.005375,"SD","Total Personal Income","Billion Dollars","Nominal"
2006,27.393125,"SD","Total Personal Income","Billion Dollars","Nominal"
2007,30.34255,"SD","Total Personal Income","Billion Dollars","Nominal"
2008,32.6768,"SD","Total Personal Income","Billion Dollars","Nominal"
2009,31.82705,"SD","Total Personal Income","Billion Dollars","Nominal"
2010,33.6829,"SD","Total Personal Income","Billion Dollars","Nominal"
2011,36.654975,"SD","Total Personal Income","Billion Dollars","Nominal"
2012,37.46965,"SD","Total Personal Income","Billion Dollars","Nominal"
2013,37.840225,"SD","Total Personal Income","Billion Dollars","Nominal"
2014,39.60715,"SD","Total Personal Income","Billion Dollars","Nominal"
2015,41.160075,"SD","Total Personal Income","Billion Dollars","Nominal"
2016,41.5515,"SD","Total Personal Income","Billion Dollars","Nominal"
2017,42.9893,"SD","Total Personal Income","Billion Dollars","Nominal"
2018,45.143975,"SD","Total Personal Income","Billion Dollars","Nominal"
2019,48.013825,"SD","Total Personal Income","Billion Dollars","Nominal"
2020,52.76375,"SD","Total Personal Income","Billion Dollars","Nominal"
2021,60.077725,"SD","Total Personal Income","Billion Dollars","Nominal"
2022,63.440075,"SD","Total Personal Income","Billion Dollars","Nominal"
2023,66.619475,"SD","Total Personal Income","Billion Dollars","Nominal"
2024,68.2826,"SD","Total Personal Income","Billion Dollars","Nominal"
1948,3.118125,"TN","Total Personal Income","Billion Dollars","Nominal"
1949,3.1041,"TN","Total Personal Income","Billion Dollars","Nominal"
1950,3.448225,"TN","Total Personal Income","Billion Dollars","Nominal"
1951,3.84405,"TN","Total Personal Income","Billion Dollars","Nominal"
1952,4.02145,"TN","Total Personal Income","Billion Dollars","Nominal"
1953,4.313625,"TN","Total Personal Income","Billion Dollars","Nominal"
1954,4.3681,"TN","Total Personal Income","Billion Dollars","Nominal"
1955,4.612125,"TN","Total Personal Income","Billion Dollars","Nominal"
1956,4.945725,"TN","Total Personal Income","Billion Dollars","Nominal"
1957,5.175125,"TN","Total Personal Income","Billion Dollars","Nominal"
1958,5.38955,"TN","Total Personal Income","Billion Dollars","Nominal"
1959,5.775675,"TN","Total Personal Income","Billion Dollars","Nominal"
1960,5.930975,"TN","Total Personal Income","Billion Dollars","Nominal"
1961,6.277775,"TN","Total Personal Income","Billion Dollars","Nominal"
1962,6.667575,"TN","Total Personal Income","Billion Dollars","Nominal"
1963,7.0718,"TN","Total Personal Income","Billion Dollars","Nominal"
1964,7.6042,"TN","Total Personal Income","Billion Dollars","Nominal"
1965,8.286475,"TN","Total Personal Income","Billion Dollars","Nominal"
1966,9.1232,"TN","Total Personal Income","Billion Dollars","Nominal"
1967,9.7699,"TN","Total Personal Income","Billion Dollars","Nominal"
1968,10.8938,"TN","Total Personal Income","Billion Dollars","Nominal"
1969,11.8156,"TN","Total Personal Income","Billion Dollars","Nominal"
1970,12.849375,"TN","Total Personal Income","Billion Dollars","Nominal"
1971,14.188125,"TN","Total Personal Income","Billion Dollars","Nominal"
1972,15.9706,"TN","Total Personal Income","Billion Dollars","Nominal"
1973,18.14165,"TN","Total Personal Income","Billion Dollars","Nominal"
1974,20.073625,"TN","Total Personal Income","Billion Dollars","Nominal"
1975,21.893625,"TN","Total Personal Income","Billion Dollars","Nominal"
1976,24.519675,"TN","Total Personal Income","Billion Dollars","Nominal"
1977,27.17575,"TN","Total Personal Income","Billion Dollars","Nominal"
1978,30.979275,"TN","Total Personal Income","Billion Dollars","Nominal"
1979,34.544025,"TN","Total Personal Income","Billion Dollars","Nominal"
1980,38.090075,"TN","Total Personal Income","Billion Dollars","Nominal"
1981,42.37435,"TN","Total Personal Income","Billion Dollars","Nominal"
1982,45.036025,"TN","Total Personal Income","Billion Dollars","Nominal"
1983,48.073525,"TN","Total Personal Income","Billion Dollars","Nominal"
1984,53.4453,"TN","Total Personal Income","Billion Dollars","Nominal"
1985,57.197625,"TN","Total Personal Income","Billion Dollars","Nominal"
1986,61.2065,"TN","Total Personal Income","Billion Dollars","Nominal"
1987,65.770275,"TN","Total Personal Income","Billion Dollars","Nominal"
1988,71.613075,"TN","Total Personal Income","Billion Dollars","Nominal"
1989,76.875725,"TN","Total Personal Income","Billion Dollars","Nominal"
1990,81.78725,"TN","Total Personal Income","Billion Dollars","Nominal"
1991,86.09315,"TN","Total Personal Income","Billion Dollars","Nominal"
1992,94.02235,"TN","Total Personal Income","Billion Dollars","Nominal"
1993,100.0416,"TN","Total Personal Income","Billion Dollars","Nominal"
1994,106.434,"TN","Total Personal Income","Billion Dollars","Nominal"
1995,114.276075,"TN","Total Personal Income","Billion Dollars","Nominal"
1996,120.64935,"TN","Total Personal Income","Billion Dollars","Nominal"
1997,127.785225,"TN","Total Personal Income","Billion Dollars","Nominal"
1998,139.76035,"TN","Total Personal Income","Billion Dollars","Nominal"
1999,145.23195,"TN","Total Personal Income","Billion Dollars","Nominal"
2000,153.990125,"TN","Total Personal Income","Billion Dollars","Nominal"
2001,158.12525,"TN","Total Personal Income","Billion Dollars","Nominal"
2002,162.879425,"TN","Total Personal Income","Billion Dollars","Nominal"
2003,169.929525,"TN","Total Personal Income","Billion Dollars","Nominal"
2004,179.892925,"TN","Total Personal Income","Billion Dollars","Nominal"
2005,188.177575,"TN","Total Personal Income","Billion Dollars","Nominal"
2006,200.1889,"TN","Total Personal Income","Billion Dollars","Nominal"
2007,209.7468,"TN","Total Personal Income","Billion Dollars","Nominal"
2008,218.3725,"TN","Total Personal Income","Billion Dollars","Nominal"
2009,217.0947,"TN","Total Personal Income","Billion Dollars","Nominal"
2010,227.613025,"TN","Total Personal Income","Billion Dollars","Nominal"
2011,241.4317,"TN","Total Personal Income","Billion Dollars","Nominal"
2012,252.592325,"TN","Total Personal Income","Billion Dollars","Nominal"
2013,254.4646,"TN","Total Personal Income","Billion Dollars","Nominal"
2014,263.856025,"TN","Total Personal Income","Billion Dollars","Nominal"
2015,277.3561,"TN","Total Personal Income","Billion Dollars","Nominal"
2016,286.532275,"TN","Total Personal Income","Billion Dollars","Nominal"
2017,299.307675,"TN","Total Personal Income","Billion Dollars","Nominal"
2018,316.176525,"TN","Total Personal Income","Billion Dollars","Nominal"
2019,335.6017,"TN","Total Personal Income","Billion Dollars","Nominal"
2020,359.87295,"TN","Total Personal Income","Billion Dollars","Nominal"
2021,400.46765,"TN","Total Personal Income","Billion Dollars","Nominal"
2022,417.3693,"TN","Total Personal Income","Billion Dollars","Nominal"
2023,443.472025,"TN","Total Personal Income","Billion Dollars","Nominal"
2024,465.14605,"TN","Total Personal Income","Billion Dollars","Nominal"
1948,9.312525,"TX","Total Personal Income","Billion Dollars","Nominal"
1949,10.054425,"TX","Total Personal Income","Billion Dollars","Nominal"
1950,10.827625,"TX","Total Personal Income","Billion Dollars","Nominal"
1951,12.3578,"TX","Total Personal Income","Billion Dollars","Nominal"
1952,13.356125,"TX","Total Personal Income","Billion Dollars","Nominal"
1953,13.6792,"TX","Total Personal Income","Billion Dollars","Nominal"
1954,14.086225,"TX","Total Personal Income","Billion Dollars","Nominal"
1955,15.16995,"TX","Total Personal Income","Billion Dollars","Nominal"
1956,16.223525,"TX","Total Personal Income","Billion Dollars","Nominal"
1957,17.35515,"TX","Total Personal Income","Billion Dollars","Nominal"
1958,17.896025,"TX","Total Personal Income","Billion Dollars","Nominal"
1959,18.9294,"TX","Total Personal Income","Billion Dollars","Nominal"
1960,19.437775,"TX","Total Personal Income","Billion Dollars","Nominal"
1961,20.546,"TX","Total Personal Income","Billion Dollars","Nominal"
1962,21.582275,"TX","Total Personal Income","Billion Dollars","Nominal"
1963,22.539075,"TX","Total Personal Income","Billion Dollars","Nominal"
1964,24.171275,"TX","Total Personal Income","Billion Dollars","Nominal"
1965,26.0167,"TX","Total Personal Income","Billion Dollars","Nominal"
1966,28.468525,"TX","Total Personal Income","Billion Dollars","Nominal"
1967,31.101025,"TX","Total Personal Income","Billion Dollars","Nominal"
1968,34.65385,"TX","Total Personal Income","Billion Dollars","Nominal"
1969,38.57495,"TX","Total Personal Income","Billion Dollars","Nominal"
1970,42.496975,"TX","Total Personal Income","Billion Dollars","Nominal"
1971,46.116225,"TX","Total Personal Income","Billion Dollars","Nominal"
1972,51.173425,"TX","Total Personal Income","Billion Dollars","Nominal"
1973,58.113025,"TX","Total Personal Income","Billion Dollars","Nominal"
1974,65.532275,"TX","Total Personal Income","Billion Dollars","Nominal"
1975,74.746675,"TX","Total Personal Income","Billion Dollars","Nominal"
1976,84.2276,"TX","Total Personal Income","Billion Dollars","Nominal"
1977,93.9786,"TX","Total Personal Income","Billion Dollars","Nominal"
1978,108.2933,"TX","Total Personal Income","Billion Dollars","Nominal"
1979,124.674825,"TX","Total Personal Income","Billion Dollars","Nominal"
1980,143.179425,"TX","Total Personal Income","Billion Dollars","Nominal"
1981,168.206075,"TX","Total Personal Income","Billion Dollars","Nominal"
1982,185.427375,"TX","Total Personal Income","Billion Dollars","Nominal"
1983,198.10225,"TX","Total Personal Income","Billion Dollars","Nominal"
1984,216.621125,"TX","Total Personal Income","Billion Dollars","Nominal"
1985,233.449,"TX","Total Personal Income","Billion Dollars","Nominal"
1986,238.841025,"TX","Total Personal Income","Billion Dollars","Nominal"
1987,242.766125,"TX","Total Personal Income","Billion Dollars","Nominal"
1988,258.00815,"TX","Total Personal Income","Billion Dollars","Nominal"
1989,275.6133,"TX","Total Personal Income","Billion Dollars","Nominal"
1990,297.6644,"TX","Total Personal Income","Billion Dollars","Nominal"
1991,311.648475,"TX","Total Personal Income","Billion Dollars","Nominal"
1992,336.384625,"TX","Total Personal Income","Billion Dollars","Nominal"
1993,356.047525,"TX","Total Personal Income","Billion Dollars","Nominal"
1994,376.21255,"TX","Total Personal Income","Billion Dollars","Nominal"
1995,402.35275,"TX","Total Personal Income","Billion Dollars","Nominal"
1996,432.484525,"TX","Total Personal Income","Billion Dollars","Nominal"
1997,472.2678,"TX","Total Personal Income","Billion Dollars","Nominal"
1998,514.882575,"TX","Total Personal Income","Billion Dollars","Nominal"
1999,543.7976,"TX","Total Personal Income","Billion Dollars","Nominal"
2000,591.73835,"TX","Total Personal Income","Billion Dollars","Nominal"
2001,631.0802,"TX","Total Personal Income","Billion Dollars","Nominal"
2002,639.44315,"TX","Total Personal Income","Billion Dollars","Nominal"
2003,664.814925,"TX","Total Personal Income","Billion Dollars","Nominal"
2004,696.381325,"TX","Total Personal Income","Billion Dollars","Nominal"
2005,754.775875,"TX","Total Personal Income","Billion Dollars","Nominal"
2006,827.439675,"TX","Total Personal Income","Billion Dollars","Nominal"
2007,878.902425,"TX","Total Personal Income","Billion Dollars","Nominal"
2008,968.4993,"TX","Total Personal Income","Billion Dollars","Nominal"
2009,923.4707,"TX","Total Personal Income","Billion Dollars","Nominal"
2010,982.05275,"TX","Total Personal Income","Billion Dollars","Nominal"
2011,1074.857975,"TX","Total Personal Income","Billion Dollars","Nominal"
2012,1142.8875,"TX","Total Personal Income","Billion Dollars","Nominal"
2013,1173.7474,"TX","Total Personal Income","Billion Dollars","Nominal"
2014,1257.6396,"TX","Total Personal Income","Billion Dollars","Nominal"
2015,1281.17015,"TX","Total Personal Income","Billion Dollars","Nominal"
2016,1276.330575,"TX","Total Personal Income","Billion Dollars","Nominal"
2017,1367.826025,"TX","Total Personal Income","Billion Dollars","Nominal"
2018,1463.789825,"TX","Total Personal Income","Billion Dollars","Nominal"
2019,1537.2057,"TX","Total Personal Income","Billion Dollars","Nominal"
2020,1602.183375,"TX","Total Personal Income","Billion Dollars","Nominal"
2021,1779.9131,"TX","Total Personal Income","Billion Dollars","Nominal"
2022,1891.498625,"TX","Total Personal Income","Billion Dollars","Nominal"
2023,2020.899,"TX","Total Personal Income","Billion Dollars","Nominal"
2024,2111.5724,"TX","Total Personal Income","Billion Dollars","Nominal"
1948,0.84025,"UT","Total Personal Income","Billion Dollars","Nominal"
1949,0.86925,"UT","Total Personal Income","Billion Dollars","Nominal"
1950,0.968125,"UT","Total Personal Income","Billion Dollars","Nominal"
1951,1.129725,"UT","Total Personal Income","Billion Dollars","Nominal"
1952,1.199575,"UT","Total Personal Income","Billion Dollars","Nominal"
1953,1.23205,"UT","Total Personal Income","Billion Dollars","Nominal"
1954,1.230025,"UT","Total Personal Income","Billion Dollars","Nominal"
1955,1.36065,"UT","Total Personal Income","Billion Dollars","Nominal"
1956,1.48445,"UT","Total Personal Income","Billion Dollars","Nominal"
1957,1.6103,"UT","Total Personal Income","Billion Dollars","Nominal"
1958,1.6669,"UT","Total Personal Income","Billion Dollars","Nominal"
1959,1.7873,"UT","Total Personal Income","Billion Dollars","Nominal"
1960,1.9098,"UT","Total Personal Income","Billion Dollars","Nominal"
1961,2.0469,"UT","Total Personal Income","Billion Dollars","Nominal"
1962,2.228075,"UT","Total Personal Income","Billion Dollars","Nominal"
1963,2.315125,"UT","Total Personal Income","Billion Dollars","Nominal"
1964,2.43695,"UT","Total Personal Income","Billion Dollars","Nominal"
1965,2.5832,"UT","Total Personal Income","Billion Dollars","Nominal"
1966,2.751325,"UT","Total Personal Income","Billion Dollars","Nominal"
1967,2.903475,"UT","Total Personal Income","Billion Dollars","Nominal"
1968,3.1116,"UT","Total Personal Income","Billion Dollars","Nominal"
1969,3.406875,"UT","Total Personal Income","Billion Dollars","Nominal"
1970,3.791425,"UT","Total Personal Income","Billion Dollars","Nominal"
1971,4.2431,"UT","Total Personal Income","Billion Dollars","Nominal"
1972,4.7414,"UT","Total Personal Income","Billion Dollars","Nominal"
1973,5.282875,"UT","Total Personal Income","Billion Dollars","Nominal"
1974,5.9104,"UT","Total Personal Income","Billion Dollars","Nominal"
1975,6.590525,"UT","Total Personal Income","Billion Dollars","Nominal"
1976,7.463625,"UT","Total Personal Income","Billion Dollars","Nominal"
1977,8.44045,"UT","Total Personal Income","Billion Dollars","Nominal"
1978,9.71165,"UT","Total Personal Income","Billion Dollars","Nominal"
1979,10.970225,"UT","Total Personal Income","Billion Dollars","Nominal"
1980,12.31845,"UT","Total Personal Income","Billion Dollars","Nominal"
1981,13.878425,"UT","Total Personal Income","Billion Dollars","Nominal"
1982,15.058,"UT","Total Personal Income","Billion Dollars","Nominal"
1983,16.1361,"UT","Total Personal Income","Billion Dollars","Nominal"
1984,17.800925,"UT","Total Personal Income","Billion Dollars","Nominal"
1985,19.059825,"UT","Total Personal Income","Billion Dollars","Nominal"
1986,20.029875,"UT","Total Personal Income","Billion Dollars","Nominal"
1987,20.92815,"UT","Total Personal Income","Billion Dollars","Nominal"
1988,22.30935,"UT","Total Personal Income","Billion Dollars","Nominal"
1989,23.94215,"UT","Total Personal Income","Billion Dollars","Nominal"
1990,25.9759,"UT","Total Personal Income","Billion Dollars","Nominal"
1991,27.877475,"UT","Total Personal Income","Billion Dollars","Nominal"
1992,30.1059,"UT","Total Personal Income","Billion Dollars","Nominal"
1993,32.4665,"UT","Total Personal Income","Billion Dollars","Nominal"
1994,35.131075,"UT","Total Personal Income","Billion Dollars","Nominal"
1995,38.274775,"UT","Total Personal Income","Billion Dollars","Nominal"
1996,41.6828,"UT","Total Personal Income","Billion Dollars","Nominal"
1997,45.00055,"UT","Total Personal Income","Billion Dollars","Nominal"
1998,48.098525,"UT","Total Personal Income","Billion Dollars","Nominal"
1999,50.67,"UT","Total Personal Income","Billion Dollars","Nominal"
2000,54.230575,"UT","Total Personal Income","Billion Dollars","Nominal"
2001,56.788675,"UT","Total Personal Income","Billion Dollars","Nominal"
2002,58.5086,"UT","Total Personal Income","Billion Dollars","Nominal"
2003,60.770475,"UT","Total Personal Income","Billion Dollars","Nominal"
2004,64.794975,"UT","Total Personal Income","Billion Dollars","Nominal"
2005,70.66185,"UT","Total Personal Income","Billion Dollars","Nominal"
2006,78.561125,"UT","Total Personal Income","Billion Dollars","Nominal"
2007,85.528475,"UT","Total Personal Income","Billion Dollars","Nominal"
2008,89.967775,"UT","Total Personal Income","Billion Dollars","Nominal"
2009,86.59465,"UT","Total Personal Income","Billion Dollars","Nominal"
2010,88.9405,"UT","Total Personal Income","Billion Dollars","Nominal"
2011,95.8817,"UT","Total Personal Income","Billion Dollars","Nominal"
2012,101.92815,"UT","Total Personal Income","Billion Dollars","Nominal"
2013,105.027975,"UT","Total Personal Income","Billion Dollars","Nominal"
2014,111.056475,"UT","Total Personal Income","Billion Dollars","Nominal"
2015,119.661475,"UT","Total Personal Income","Billion Dollars","Nominal"
2016,126.540575,"UT","Total Personal Income","Billion Dollars","Nominal"
2017,134.546725,"UT","Total Personal Income","Billion Dollars","Nominal"
2018,144.6455,"UT","Total Personal Income","Billion Dollars","Nominal"
2019,155.71145,"UT","Total Personal Income","Billion Dollars","Nominal"
2020,169.9211,"UT","Total Personal Income","Billion Dollars","Nominal"
2021,194.315525,"UT","Total Personal Income","Billion Dollars","Nominal"
2022,205.519375,"UT","Total Personal Income","Billion Dollars","Nominal"
